Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
R135,RES1206-3216,2022.520mil,1766.141mil,2022.520mil,1766.141mil,2022.520mil,1699.212mil,B,90.00,100K
R235,RES1206-3216,6825.670mil,1766.141mil,6825.670mil,1766.141mil,6825.670mil,1699.212mil,B,90.00,100K
R335,RES1206-3216,2022.520mil,7592.913mil,2022.520mil,7592.913mil,2022.520mil,7525.984mil,B,90.00,100K
R435,RES1206-3216,6825.670mil,7592.913mil,6825.670mil,7592.913mil,6825.670mil,7525.984mil,B,90.00,100K
R129,RES1206-3216,1182.520mil,1766.141mil,1182.520mil,1766.141mil,1182.520mil,1699.212mil,B,90.00,100K
R229,RES1206-3216,5985.670mil,1766.141mil,5985.670mil,1766.141mil,5985.670mil,1699.212mil,B,90.00,100K
R329,RES1206-3216,1182.520mil,7592.913mil,1182.520mil,7592.913mil,1182.520mil,7525.984mil,B,90.00,100K
R429,RES1206-3216,5985.670mil,7592.913mil,5985.670mil,7592.913mil,5985.670mil,7525.984mil,B,90.00,100K
R127,RES1206-3216,1082.520mil,1766.141mil,1082.520mil,1766.141mil,1082.520mil,1699.212mil,B,90.00,100K
R227,RES1206-3216,5885.670mil,1766.141mil,5885.670mil,1766.141mil,5885.670mil,1699.212mil,B,90.00,100K
R327,RES1206-3216,1082.520mil,7592.913mil,1082.520mil,7592.913mil,1082.520mil,7525.984mil,B,90.00,100K
R427,RES1206-3216,5885.670mil,7592.913mil,5885.670mil,7592.913mil,5885.670mil,7525.984mil,B,90.00,100K
R125,RES1206-3216,1282.520mil,1766.141mil,1282.520mil,1766.141mil,1282.520mil,1699.212mil,B,90.00,100K
R225,RES1206-3216,6085.670mil,1766.141mil,6085.670mil,1766.141mil,6085.670mil,1699.212mil,B,90.00,100K
R325,RES1206-3216,1282.520mil,7592.913mil,1282.520mil,7592.913mil,1282.520mil,7525.984mil,B,90.00,100K
R425,RES1206-3216,6085.670mil,7592.913mil,6085.670mil,7592.913mil,6085.670mil,7525.984mil,B,90.00,100K
PT101,POT_LIN_VR1,3382.520mil,6046.141mil,3382.520mil,6046.141mil,3282.520mil,5946.141mil,T,0.00,20K
PT201,POT_LIN_VR1,8185.670mil,6046.141mil,8185.670mil,6046.141mil,8085.670mil,5946.141mil,T,0.00,20K
PT301,POT_LIN_VR1,3382.520mil,11872.913mil,3382.520mil,11872.913mil,3282.520mil,11772.913mil,T,0.00,20K
PT401,POT_LIN_VR1,8185.670mil,11872.913mil,8185.670mil,11872.913mil,8085.670mil,11772.913mil,T,0.00,20K
Q102,SOT95P240-3RM,3721.102mil,4711.497mil,3721.103mil,4711.495mil,3674.842mil,4711.497mil,B,0.00,2N3906
Q202,SOT95P240-3RM,8524.252mil,4711.497mil,8524.253mil,4711.495mil,8477.992mil,4711.497mil,B,0.00,2N3906
Q302,SOT95P240-3RM,3721.102mil,10538.269mil,3721.103mil,10538.267mil,3674.842mil,10538.269mil,B,0.00,2N3906
Q402,SOT95P240-3RM,8524.252mil,10538.269mil,8524.253mil,10538.267mil,8477.992mil,10538.269mil,B,0.00,2N3906
C114,"CAP0603,1608",1922.520mil,5426.141mil,1922.520mil,5426.141mil,1922.520mil,5392.086mil,B,90.00,100nF
C214,"CAP0603,1608",6725.670mil,5426.141mil,6725.670mil,5426.141mil,6725.670mil,5392.086mil,B,90.00,100nF
C314,"CAP0603,1608",1922.520mil,11252.913mil,1922.520mil,11252.913mil,1922.520mil,11218.858mil,B,90.00,100nF
C414,"CAP0603,1608",6725.670mil,11252.913mil,6725.670mil,11252.913mil,6725.670mil,11218.858mil,B,90.00,100nF
Y102,XTAL-2,2542.520mil,4526.771mil,2542.520mil,4566.141mil,2542.520mil,4566.141mil,T,270.00,32.768Khz
Y202,XTAL-2,7345.670mil,4526.771mil,7345.670mil,4566.141mil,7345.670mil,4566.141mil,T,270.00,32.768Khz
Y302,XTAL-2,2542.520mil,10353.543mil,2542.520mil,10392.913mil,2542.520mil,10392.913mil,T,270.00,32.768Khz
Y402,XTAL-2,7345.670mil,10353.543mil,7345.670mil,10392.913mil,7345.670mil,10392.913mil,T,270.00,32.768Khz
Y101,CRYSTAL,2742.522mil,3366.141mil,2742.520mil,3366.141mil,2742.522mil,3267.715mil,T,90.00,20Mhz
Y201,CRYSTAL,7545.672mil,3366.141mil,7545.670mil,3366.141mil,7545.672mil,3267.715mil,T,90.00,20Mhz
Y301,CRYSTAL,2742.522mil,9192.913mil,2742.520mil,9192.913mil,2742.522mil,9094.487mil,T,90.00,20Mhz
Y401,CRYSTAL,7545.672mil,9192.913mil,7545.670mil,9192.913mil,7545.672mil,9094.487mil,T,90.00,20Mhz
U103,10uSOP_M,2342.520mil,4526.141mil,2342.520mil,4526.141mil,2425.198mil,4565.511mil,B,180.00,DS1390U-33+
U203,10uSOP_M,7145.670mil,4526.141mil,7145.670mil,4526.141mil,7228.348mil,4565.511mil,B,180.00,DS1390U-33+
U303,10uSOP_M,2342.520mil,10352.913mil,2342.520mil,10352.913mil,2425.198mil,10392.283mil,B,180.00,DS1390U-33+
U403,10uSOP_M,7145.670mil,10352.913mil,7145.670mil,10352.913mil,7228.348mil,10392.283mil,B,180.00,DS1390U-33+
U102,SSOP-SS28_N,2342.520mil,3366.141mil,2342.520mil,3366.141mil,2478.346mil,3532.479mil,B,180.00,PIC16F886-I/SS
U202,SSOP-SS28_N,7145.670mil,3366.141mil,7145.670mil,3366.141mil,7281.496mil,3532.479mil,B,180.00,PIC16F886-I/SS
U302,SSOP-SS28_N,2342.520mil,9192.913mil,2342.520mil,9192.913mil,2478.346mil,9359.251mil,B,180.00,PIC16F886-I/SS
U402,SSOP-SS28_N,7145.670mil,9192.913mil,7145.670mil,9192.913mil,7281.496mil,9359.251mil,B,180.00,PIC16F886-I/SS
U101,SOIC-SO18_M,1171.260mil,3366.141mil,1171.260mil,3366.141mil,1352.362mil,3566.141mil,B,270.00,ULN2803A
U201,SOIC-SO18_M,5974.410mil,3366.141mil,5974.410mil,3366.141mil,6155.512mil,3566.141mil,B,270.00,ULN2803A
U301,SOIC-SO18_M,1171.260mil,9192.913mil,1171.260mil,9192.913mil,1352.362mil,9392.913mil,B,270.00,ULN2803A
U401,SOIC-SO18_M,5974.410mil,9192.913mil,5974.410mil,9192.913mil,6155.512mil,9392.913mil,B,270.00,ULN2803A
R147,RES1206-3216,2742.520mil,2966.141mil,2742.520mil,2966.141mil,2809.449mil,2966.141mil,B,180.00,1R
R247,RES1206-3216,7545.670mil,2966.141mil,7545.670mil,2966.141mil,7612.599mil,2966.141mil,B,180.00,1R
R347,RES1206-3216,2742.520mil,8792.913mil,2742.520mil,8792.913mil,2809.449mil,8792.913mil,B,180.00,1R
R447,RES1206-3216,7545.670mil,8792.913mil,7545.670mil,8792.913mil,7612.599mil,8792.913mil,B,180.00,1R
R146,RES1206-3216,2742.520mil,2866.141mil,2742.520mil,2866.141mil,2809.449mil,2866.141mil,B,180.00,1R
R246,RES1206-3216,7545.670mil,2866.141mil,7545.670mil,2866.141mil,7612.599mil,2866.141mil,B,180.00,1R
R346,RES1206-3216,2742.520mil,8692.913mil,2742.520mil,8692.913mil,2809.449mil,8692.913mil,B,180.00,1R
